brand,category,description,details,finition,image_urls,sku,stock,title,type,url,variure
TORBEL,,"
","{'Article:': 'Crémaillère', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--yXqqKGRL--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_224759_.jpeg",589611,Aucun magasin sélectionné,Crémaillère pour volet longueur 180 mm aluminium couleur noire TORBEL 924E01J,,https://www.afdb.fr/torbel-cremaillere-torbel-volet-180-mm-aluminium-couleur-noire-924e01j_SKUM214588.html,
TORBEL,,"
",{'Article:': 'Charnière N°40'},,"https://res.cloudinary.com/afdb/image/upload/s--5xbMC3ke--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_250684_.jpeg",599269,Aucun magasin sélectionné,Charnières aluminium,,https://www.afdb.fr/torbel-charnieres-aluminium_SKUM127267.html,
DINAC,,"
","{'Longueur:': '2,45 m lin.'}",,"https://res.cloudinary.com/afdb/image/upload/s--vyO0HJC5--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_246433_.jpeg",793324,Aucun magasin sélectionné,"Nez de marche B8 percé Trafic intense inox 2,45 m DINAC 228902D",,https://www.afdb.fr/dinac-nez-marche-strie-dinac-b8-visser-228902d_SKUM155630.html,
COMUNELLO,,"
",{'Modèle:': '4  brins'},,"https://res.cloudinary.com/afdb/image/upload/s--XFLYiDus--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_241047_.jpeg",466289,Aucun magasin sélectionné,Élingue chaîne 4 brins crochet auto acier 10 mm COMUNELLO 8120444,,https://www.afdb.fr/comunello-elingue-chaine-4-brins-comunello-crochet-auto-acier-10-mm-8120444_SKUM126885.html,
ING FIXATIONS,,"
","{'Diamètre de la tige:': '14 x 150 mm', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--hQ5vAcdR--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_262343_.jpeg",588429,Aucun magasin sélectionné,Gond parpaing de portail diamètre 14 mm fer à béton 14 x 150 mm seau de 25 ING FIXATIONS A001094,,https://www.afdb.fr/ing-fixations-gond-portail-ing-fixations-materiaux-creux-a001_SKUM27062.html,
ING FIXATIONS,,"
","{'Diamètre de la tige:': '14 x 80 mm', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--BMJvoUn_--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_262353_.jpeg",645848,Aucun magasin sélectionné,Sac de 2 gonds volet à sceller 14 x 80 mm pour matériaux pleins ING FIXATIONS A856217,,https://www.afdb.fr/ing-fixations-gond-volet-ing-fixations-simple-materiaux-pleins_SKUM5627.html,
TORBEL,,"
","{'Type:': 'Axe Ø14mm', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--mY7sAznJ--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_266235_.jpeg",589604,Aucun magasin sélectionné,Axe amovible nylon diamètre 14 mm pour gond tableau TORBEL 61PAA39,,https://www.afdb.fr/torbel-gond-torbel-aluminium-fixation-tableau-61pa_SKUM27086.html,
ING FIXATIONS,,"
","{'Matière du produit:': 'ABS', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--5XFcw2A8--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_114495_.jpeg",646207,Aucun magasin sélectionné,Colliers blancs TUB-RING double 16 mm pour tubes multicouches boîte 50 ING FIXATIONS A315220,,https://www.afdb.fr/ing-fixations-fixation-collier-tub-ring-i-g-fixations-multicouche_SKUM43342.html,
ING FIXATIONS,,"
","{'Diamètre de la tige:': '10 mm', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--lneESbnL--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_261907_.jpeg",744346,Aucun magasin sélectionné,Arrêt de volet 0/8 parpaing longueur 225 mm noir ING FIXATIONS A070160,,https://www.afdb.fr/ing-fixations-arret-volet-ing-fixations-materiaux-creux-a0701_SKUM31437.html,
BOUVET,,"
","{'Finition:': 'Fer cémenté patiné', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--qG8lWUgz--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_264792_.jpeg",587587,Aucun magasin sélectionné,Béquille double Languedoc fer cémenté patiné 2 portées carré 8 mm BOUVET 016522,,https://www.afdb.fr/bouvet-bequille-double-bouvet-style-languedoc_SKUM39214.html,
ING FIXATIONS,,"
","{'Diamètre de la tige:': '12 x 165 mm', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--PK13MdGD--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_288903_.jpeg",645855,Aucun magasin sélectionné,Sac de 2 gonds de volet double à sceller diamètre 14 mm pour matériaux creux ING FIXATIONS A856350,,https://www.afdb.fr/ing-fixations-gond-volet-ing-fixations-double-materiaux-creux_SKUM5626.html,
BOUVET,,"
","{'Fonction:': 'Clé I ( plaque étroite )', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--qiNHwNos--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_244177_.jpeg",587609,Aucun magasin sélectionné,Ensemble double béquille sur plaque étroite NEVERS fer cémenté Clé I BOUVET ES69ID2432,,https://www.afdb.fr/bouvet-ensemble-plaque-nevers-bouvet_SKUM26321.html,
BOUVET,,"
","{'Finition:': 'Fer cémenté martelé', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--whpi54pp--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_259955_.jpeg",587590,Aucun magasin sélectionné,Bouton sur platine BELLAC fer cémenté patiné verni BOUVET BO48PB7032,,https://www.afdb.fr/bouvet-poignee-fenetre-bellac-bouvet-bo48p_SKUM39211.html,
BOUVET,,"
","{'Finition:': 'Fer cémenté patiné', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--_TsuJGmz--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_264842_.jpeg",592477,Aucun magasin sélectionné,Bouton sur platine Nevers fer cémenté patiné BOUVET BO52PB20R,,https://www.afdb.fr/bouvet-poignee-fenetre-bouvet-style-nevers-bo52p_SKUM39928.html,
